City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
265,Sur,OM,65.62,clear sky,22.5667,59.5289,Sur Plaza Hotel
268,Port Pirie,AU,73.4,overcast clouds,-33.1833,138.0167,John Pirie Motor Inn
273,Lichinga,MZ,66.2,moderate rain,-13.3128,35.2406,Residencial Bendiak
286,Carlsbad,US,55.99,overcast clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
290,Namibe,AO,74.66,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
292,Arlit,NE,65.98,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
304,Guerrero Negro,MX,63.68,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
306,Mindelo,CV,73.4,scattered clouds,16.8901,-24.9804,Hotel Gaudi
307,Kaili,ID,67.44,light rain,-3.4626,120.2147,
310,Kakamega,KE,66.69,broken clouds,0.2842,34.7523,Amazon Bed & Breakfast
311,Hurghada,EG,60.8,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
314,Laredo,US,66.2,overcast clouds,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
318,Marzuq,YE,56.16,broken clouds,14.4,46.4667,
319,Challapata,BO,57.74,scattered clouds,-18.9,-66.7667,HOSTAL MARIAN
324,Zaria,NG,71.02,broken clouds,11.1113,7.7227,A.B.U Hotels
329,Kamina,CD,64.8,overcast clouds,-8.7386,24.9906,Guest House la Grace
332,Meadow Lake,US,57.0,broken clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
338,Djambala,CG,69.71,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
339,Launceston,AU,57.0,mist,-41.45,147.1667,Hotel Grand Chancellor Launceston
341,Coolum Beach,AU,69.01,overcast clouds,-26.5333,153.1,Palmer Coolum Resort
343,Bowen,AU,69.8,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
348,Abu Dhabi,AE,68.0,clear sky,24.4667,54.3667,Beach Rotana
349,Yanam,IN,67.64,clear sky,16.7333,82.2167,The Regency Hotel
352,Houma,US,62.6,mist,29.5958,-90.7195,Courtyard by Marriott Houma
354,Jalu,LY,51.96,clear sky,29.0331,21.5482,صاحبة الفخامة
355,Weligama,LK,73.0,clear sky,5.9667,80.4167,Weligama Bay Resort
360,Torrevieja,ES,57.99,overcast clouds,37.9787,-0.6822,Hotel Fontana Plaza
363,Lompoc,US,51.8,light rain,34.6391,-120.4579,Holiday Inn Express Lompoc
364,Codrington,AU,64.72,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
365,Constitucion,CL,67.23,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
377,Half Moon Bay,US,53.6,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
381,Linqiong,CN,52.0,mist,30.4159,103.4609,Tianlun Tanxianglou Hotel
383,Kumbo,CM,62.87,overcast clouds,6.2,10.6667,Western Inn Resort
385,Kaduna,NG,74.34,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
389,Tuatapere,NZ,53.01,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
390,Asyut,EG,53.6,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
393,Kushalgarh,IN,65.89,clear sky,23.199,74.4507,Hotel Janvi
395,Taoudenni,ML,68.81,clear sky,22.6783,-3.9836,
406,Arrecife,ES,64.4,few clouds,28.963,-13.5477,Hotel Lancelot
409,Eyl,SO,74.35,overcast clouds,7.9803,49.8164,Amiin Hotel
410,Gisborne,NZ,73.99,broken clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
411,Adrar,MR,68.68,clear sky,20.5022,-10.0711,
412,Olot,ES,51.01,overcast clouds,42.181000000000004,2.4901,Hotel Riu Fluvià
413,Iuna,BR,71.13,light rain,-20.3458,-41.5358,Hotel São Judas Tadeu
414,Turbat,PK,52.7,clear sky,26.0023,63.044,Mubashar Quarters
435,Najran,SA,55.4,dust,17.4924,44.1277,محمد هادي ال فطيح
452,Mount Gambier,AU,62.6,overcast clouds,-37.8333,140.7667,Commodore on the Park
454,Mitu,CO,72.97,overcast clouds,1.1983,-70.1733,
458,Macau,MO,64.4,mist,22.2006,113.5461,Grand Emperor Hotel
460,Malanje,AO,64.94,overcast clouds,-9.5402,16.340999999999998,Malanje Hotel
465,Te Anau,NZ,51.84,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
468,Naze,JP,62.04,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
470,Akyab,MM,63.0,clear sky,20.15,92.9,Hotel Memory
472,Fukue,JP,55.47,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
475,Buluang,PH,74.86,broken clouds,13.3068,123.3425,Enon Beach Resort
477,Acurenam,GQ,69.21,overcast clouds,1.0322,10.6488,
479,Gatesville,US,57.2,broken clouds,31.4352,-97.7439,Rodeway Inn
485,Baran,IN,63.39,clear sky,25.1,76.5167,Hotel shri ji
487,Los Llanos De Aridane,ES,66.2,broken clouds,28.6585,-17.9182,Valle Aridane
491,Lichtenburg,ZA,73.38,broken clouds,-26.151999999999997,26.1597,Kennzy Guest House
